id	sp_uri	sp_track_name	sp_track_duration	sp_track_popularity	sp_album_name	sp_artist_infos	x	y	z	color	happiness_percentage	sadness_percentage	anger_percentage	fear_percentage	emotion_code	genre_1	genre_2	genre_3	image_uri	timestamp
0	4wCmqSrbyCgxEXROQE6vtV	Somebody That I Used To Know	244973	77	Making Mirrors	Gotye, Kimbra	879	0	1058	pink	0.3561921611445008	0.0935137481088712	0.2374420453645226	0.3128520453821053	0	pop	indiepop	rock	ab67616d0000b273e1d47c00ddecbfb810c807ed	2024-08-07 10:00:00
1	1c8gk2PeTE04A1pIDH9YMk	Rolling in the Deep	228093	76	21	Adele	1072	0	443	blue	0.2113069315143783	0.2867413121797899	0.2976668064426273	0.2042849498632044	2	soul	pop	singersongwriter	ab67616d0000b2732118bf9b198b05a95ded6300	2024-08-07 10:01:00
2	4G8gkOterJn0Ywt6uhqbhp	Radioactive	186813	72	Night Visions	Imagine Dragons	866	0	737	red	0.958636605459167	2.6269082820149947e-05	2.3005074072662382e-05	0.0413141203839402	0	rock	indierock	alternativerock	ab67616d0000b273b2b2747c89d2157b0b29fb6a	2024-08-07 10:02:00
3	2DdfktqCvI3FP9QCuFx6Y5	Video Games - Remastered 2012	281946	0	What A Time	Lana Del Rey	773	0	1062	pink	0.2755248818141386	0.2230684111250175	0.2514934328531978	0.2499132742076459	0	pop	indiepop	chillout	ab67616d0000b273f2e152dee3a42b3faba5ae6a	2024-08-07 10:03:00
4	7w87IxuO7BDcJ3YUqCyMTT	Pumped Up Kicks	239600	84	Torches	Foster The People	832	2	1095	pink	0.999858974857679	1.959819607736289e-05	9.290004377553784e-05	2.852690246823856e-05	0	indiepop	pop	indierock	ab67616d0000b273121d5f92cf90576907dfb1e5	2024-08-07 10:04:00
5	487OPlneJNni3NWC8SYqhW	Born To Die	285400	61	Born To Die - The Paradise Edition	Lana Del Rey	879	0	1071	pink	0.2755248818141386	0.2230684111250175	0.2514934328531978	0.2499132742076459	0	pop	indiepop	chillout	ab67616d0000b273cb76604d9c5963544cf5be64	2024-08-07 10:05:00
6	1eyzqe2QqGZUmfcPZtrIyt	Midnight City	241440	72	Hurry Up, We're Dreaming	M83	1151	0	475	cyan	0.0355173305646095	0.9622313554413008	1.0280756058031996e-07	0.002251211186529	1	electropop	electro	synthpop	ab67616d0000b273fff2cb485c36a6d8f639bdba	2024-08-07 10:06:00
7	3TGRqZ0a2l1LRblBkJoaDx	Call Me Maybe	193400	71	Kiss (Deluxe)	Carly Rae Jepsen	1322	1	860	pink	0.0010424553560844	2.956237127476744e-07	0.0015650570675016	0.9973921919527012	3	pop	teenpop	dancepop	ab67616d0000b273a111f7769013f1731e9c697c	2024-08-07 10:07:00
8	5VfEuwErhx6X4eaPbyBfyu	Intro	127920	64	xx	The xx	1342	0	1231	pink	0.2755248818141386	0.2230684111250175	0.2514934328531978	0.2499132742076459	0	indiepop	shoegaze	chillout	ab67616d0000b27399f2c3ea4400725031a5d619	2024-08-07 10:08:00
9	2lFTzUnuGaWlWHJQokjRyb	Blue Jeans	209440	60	Born To Die - The Paradise Edition	Lana Del Rey	1290	0	851	pink	1.767221829791275e-09	0.9999999975490266	5.8455669522312886e-12	6.779060728809264e-10	1	pop	soul	indiepop	ab67616d0000b273cb76604d9c5963544cf5be64	2024-08-07 10:09:00
10	33R3swWziWYmnDYvZqcZVS	Crystalised	201946	57	xx	The xx	819	1	572	red	0.0020748495764232	0.0029138857736733	0.0001074377456199	0.9949038269042834	3	indierock	chillout	rock	ab67616d0000b27399f2c3ea4400725031a5d619	2024-08-07 10:10:00
11	1zwMYTA5nlNjZxYrvBB2pV	Someone Like You	285240	78	21	Adele	1331	1	1150	blue	0.00125734802037	0.5026375479819098	0.4780969522410748	0.0180081517566451	1	soul	pop	singersongwriter	ab67616d0000b2732118bf9b198b05a95ded6300	2024-08-07 10:11:00
12	5ghIJDpPoe3CfHMGu71E6T	Smells Like Teen Spirit	301920	77	Nevermind (Remastered)	Nirvana	1619	2	1216	red	0.0894549799142556	0.0095418126670065	0.0033097771690427	0.8976934302496952	3	grunge	rock	alternativerock	ab67616d0000b273e175a19e530c898d167d39bf	2024-08-07 10:12:00
13	2ihCaVdNZmnHZWt0fvAM7B	Little Talks	266600	81	My Head Is An Animal	Of Monsters and Men	571	0	685	green	0.0688707008280563	0.0144382617143048	0.0010925659197139	0.9155984715379248	3	folk	indiefolk	indiepop	ab67616d0000b273cb3f67e8026e2e493a1e8262	2024-08-07 10:13:00
14	6nek1Nin9q48AVZcWs9e9D	Paradise	278719	80	Mylo Xyloto	Coldplay	874	0	835	red	0.3561921611445008	0.0935137481088712	0.2374420453645226	0.3128520453821053	0	rock	alternativerock	britpop	ab67616d0000b273de0cd11d7b31c3bd1fd5983d	2024-08-07 10:14:00
15	2RVIhPeplrQ92Cw2Av7hZe	We Are Young (feat. Janelle Monáe) - Bonus Commentary	301980	22	Some Nights	fun.	776	0	1086	pink	1.0	1.1449527977359378e-49	2.773240221251112e-85	8.803184664437459e-44	0	indiepop	powerpop	easylistening	ab67616d0000b27398b0c1a184e1bc83163b9be8	2024-08-07 10:15:00
16	73CMRj62VK8nUS4ezD2wvi	Set Fire to the Rain	242973	75	21	Adele	1266	0	843	blue	0.2755248818141386	0.2230684111250175	0.2514934328531978	0.2499132742076459	0	soul	pop	singersongwriter	ab67616d0000b2732118bf9b198b05a95ded6300	2024-08-07 10:16:00
17	2cbic3TiUENlJX91y67ARR	Skinny Love	238520	72	For Emma, Forever Ago	Bon Iver	558	1	745	green	0.9999241465339171	7.580763672009877e-05	4.5819838671803414e-08	9.524012066654292e-12	0	folk	singersongwriter	indiefolk	ab67616d0000b2730b1993db92eecc2dd5021293	2024-08-07 10:17:00
18	2dBwB667LHQkLhdYlwLUZK	Summertime Sadness	265427	63	Born To Die - The Paradise Edition	Lana Del Rey	877	0	1076	pink	0.0102462216174603	0.7670892404057716	0.2226631107693914	1.4272073765665657e-06	1	pop	indiepop	triphop	ab67616d0000b273cb76604d9c5963544cf5be64	2024-08-07 10:18:00
